entry_time,exit_time,direction,entry,exit,result,pnl,capital,year
2024-04-09 05:10:00+00:00,2024-04-09 05:20:00+00:00,short,71069.24,71222.21,SL,-0.6334,62.7071,2024
2024-04-09 05:35:00+00:00,2024-04-09 06:30:00+00:00,short,71024.0,71244.02,SL,-0.6271,62.08,2024
2024-04-09 06:35:00+00:00,2024-04-09 07:10:00+00:00,short,70738.71,70896.64,SL,-0.6208,61.4592,2024
2024-04-09 09:55:00+00:00,2024-04-09 10:45:00+00:00,short,70392.18,70590.59,SL,-0.6146,60.8446,2024
2024-04-09 11:50:00+00:00,2024-04-09 12:00:00+00:00,short,70712.02,70898.0,SL,-0.6084,60.2362,2024
2024-04-09 12:05:00+00:00,2024-04-09 12:45:00+00:00,short,70672.84,70931.98,SL,-0.6024,59.6338,2024
2024-04-09 12:55:00+00:00,2024-04-09 13:45:00+00:00,short,70690.0,70347.63,TP,1.1927,60.8265,2024
2024-04-09 16:55:00+00:00,2024-04-09 17:25:00+00:00,short,68601.24,68790.77,SL,-0.6083,60.2182,2024
2024-04-09 19:10:00+00:00,2024-04-09 19:20:00+00:00,short,68721.13,68925.1,SL,-0.6022,59.616,2024
2024-04-09 21:05:00+00:00,2024-04-09 21:15:00+00:00,short,68943.33,69106.77,SL,-0.5962,59.0199,2024
2024-04-09 23:00:00+00:00,2024-04-09 23:25:00+00:00,short,69291.41,68986.34,TP,1.1804,60.2003,2024
2024-04-10 00:35:00+00:00,2024-04-10 01:20:00+00:00,short,69058.72,68701.29,TP,1.204,61.4043,2024
2024-04-10 02:40:00+00:00,2024-04-10 03:15:00+00:00,short,68748.02,68975.67,SL,-0.614,60.7902,2024
2024-04-10 06:00:00+00:00,2024-04-10 06:25:00+00:00,short,69274.02,69457.42,SL,-0.6079,60.1823,2024
2024-04-10 10:15:00+00:00,2024-04-10 10:50:00+00:00,short,68781.56,68960.02,SL,-0.6018,59.5805,2024
2024-04-10 12:20:00+00:00,2024-04-10 12:30:00+00:00,short,68896.3,68260.0,TP,1.1916,60.7721,2024
2024-04-10 15:15:00+00:00,2024-04-10 15:25:00+00:00,short,68412.99,68632.25,SL,-0.6077,60.1644,2024
2024-04-10 15:40:00+00:00,2024-04-10 15:50:00+00:00,short,68500.0,68697.64,SL,-0.6016,59.5627,2024
2024-04-10 19:25:00+00:00,2024-04-10 19:45:00+00:00,long,69519.85,69868.33,TP,1.1913,60.754,2024
2024-04-10 21:55:00+00:00,2024-04-10 22:00:00+00:00,long,70017.0,70390.0,TP,1.2151,61.9691,2024
2024-04-11 01:05:00+00:00,2024-04-11 02:05:00+00:00,long,70582.53,70888.05,TP,1.2394,63.2085,2024
2024-04-11 03:20:00+00:00,2024-04-11 03:30:00+00:00,long,70983.57,70815.98,SL,-0.6321,62.5764,2024
