strategy,entry_time,exit_time,direction,entry,exit,result,pnl,capital,month
v1 Original,2026-04-23 01:15:00+00:00,2026-04-23 01:45:00+00:00,short,78178.85,78410.48,SL,-2.0188,199.8628,2026-04
v1 Original,2026-04-23 02:15:00+00:00,2026-04-23 03:10:00+00:00,short,78124.91,77762.56,TP,3.9973,203.8601,2026-04
v1 Original,2026-04-23 05:35:00+00:00,2026-04-23 05:45:00+00:00,short,77821.65,78007.81,SL,-2.0386,201.8215,2026-04
v1 Original,2026-04-23 10:05:00+00:00,2026-04-23 11:00:00+00:00,short,77326.08,77524.68,SL,-2.0182,199.8033,2026-04
v1 Original,2026-04-23 13:10:00+00:00,2026-04-23 14:30:00+00:00,short,77685.78,77853.98,SL,-1.998,197.8052,2026-04
v1 Original,2026-04-23 18:05:00+00:00,2026-04-23 18:55:00+00:00,long,77998.99,77739.09,SL,-1.9781,195.8272,2026-04
v1 Original,2026-04-23 19:00:00+00:00,2026-04-23 19:15:00+00:00,short,77652.74,77853.4,SL,-1.9583,193.8689,2026-04
v1 Original,2026-04-23 19:30:00+00:00,2026-04-23 20:05:00+00:00,short,77734.79,77920.37,SL,-1.9387,191.9302,2026-04
v1 Original,2026-04-24 00:10:00+00:00,2026-04-24 01:15:00+00:00,long,78321.46,78098.55,SL,-1.9193,190.0109,2026-04
v1 Original,2026-04-24 01:50:00+00:00,2026-04-24 02:50:00+00:00,long,78420.97,78166.51,SL,-1.9001,188.1108,2026-04
v1 Original,2026-04-24 04:35:00+00:00,2026-04-24 05:45:00+00:00,short,77599.19,77805.01,SL,-1.8811,186.2297,2026-04
v1 Original,2026-04-24 06:55:00+00:00,2026-04-24 09:05:00+00:00,short,77813.12,77467.68,TP,3.7246,189.9543,2026-04
v1 Original,2026-04-24 14:50:00+00:00,2026-04-24 15:00:00+00:00,long,78054.65,77878.4,SL,-1.8995,188.0548,2026-04
v1 Original,2026-04-24 15:05:00+00:00,2026-04-24 15:25:00+00:00,short,77669.0,77840.96,SL,-1.8805,186.1742,2026-04
v1 Original,2026-04-24 15:40:00+00:00,2026-04-24 16:10:00+00:00,long,78004.96,77814.72,SL,-1.8617,184.3125,2026-04
v1 Original,2026-04-24 16:20:00+00:00,2026-04-24 18:15:00+00:00,short,77761.92,77437.53,TP,3.6862,187.9987,2026-04
v1 Original,2026-04-24 20:20:00+00:00,2026-04-24 20:55:00+00:00,short,77541.1,77748.68,SL,-1.88,186.1187,2026-04
v1 Original,2026-04-24 21:30:00+00:00,2026-04-25 09:50:00+00:00,short,77626.09,77790.9,SL,-1.8612,184.2576,2026-04
v1 Original,2026-04-25 13:10:00+00:00,2026-04-25 15:50:00+00:00,long,77663.49,77355.32,SL,-1.8426,182.415,2026-04
v1 Original,2026-04-25 17:45:00+00:00,2026-04-25 20:25:00+00:00,short,77280.83,77443.27,SL,-1.8241,180.5908,2026-04
v1 Original,2026-04-25 21:35:00+00:00,2026-04-25 22:30:00+00:00,short,77470.23,77644.9,SL,-1.8059,178.7849,2026-04
v2 RSI+Volume,2026-02-27 14:45:00+00:00,2026-02-27 15:05:00+00:00,short,65960.27,66176.52,SL,-1.0,99.0,2026-02
v2 RSI+Volume,2026-02-28 05:35:00+00:00,2026-02-28 06:15:00+00:00,short,65593.41,64698.49,TP,1.98,100.98,2026-02
v2 RSI+Volume,2026-02-28 15:55:00+00:00,2026-02-28 16:40:00+00:00,long,64862.44,65129.49,TP,2.0196,102.9996,2026-02
v2 RSI+Volume,2026-02-28 18:30:00+00:00,2026-02-28 18:35:00+00:00,long,65396.56,65711.88,TP,2.06,105.0596,2026-02
v2 RSI+Volume,2026-02-28 22:20:00+00:00,2026-02-28 22:35:00+00:00,long,67077.66,67565.65,TP,2.1012,107.1608,2026-02
v2 RSI+Volume,2026-03-02 11:40:00+00:00,2026-03-02 12:20:00+00:00,long,66324.62,66122.14,SL,-1.0716,106.0892,2026-03
v2 RSI+Volume,2026-03-03 18:25:00+00:00,2026-03-03 19:05:00+00:00,long,68566.45,68421.19,SL,-1.0609,105.0283,2026-03
v2 RSI+Volume,2026-03-03 21:55:00+00:00,2026-03-03 22:00:00+00:00,long,68064.79,68502.47,TP,2.1006,107.1288,2026-03
v2 RSI+Volume,2026-03-04 03:25:00+00:00,2026-03-04 03:35:00+00:00,short,68012.6,67603.13,TP,2.1426,109.2714,2026-03
v2 RSI+Volume,2026-03-04 12:50:00+00:00,2026-03-04 13:05:00+00:00,long,71115.12,71594.09,TP,2.1854,111.4569,2026-03
v2 RSI+Volume,2026-03-04 18:50:00+00:00,2026-03-04 20:05:00+00:00,long,73695.27,73410.31,SL,-1.1146,110.3423,2026-03
v2 RSI+Volume,2026-03-04 23:50:00+00:00,2026-03-05 00:20:00+00:00,long,72639.29,72943.03,TP,2.2068,112.5491,2026-03
v2 RSI+Volume,2026-03-05 02:20:00+00:00,2026-03-05 02:30:00+00:00,long,72806.99,72474.45,SL,-1.1255,111.4236,2026-03
v2 RSI+Volume,2026-03-05 04:00:00+00:00,2026-03-05 04:20:00+00:00,long,72478.26,72775.29,TP,2.2285,113.6521,2026-03
v2 RSI+Volume,2026-03-05 12:55:00+00:00,2026-03-05 13:00:00+00:00,long,72960.7,72801.28,SL,-1.1365,112.5156,2026-03
v2 RSI+Volume,2026-03-05 14:55:00+00:00,2026-03-05 15:00:00+00:00,long,72711.29,72436.43,SL,-1.1252,111.3904,2026-03
v2 RSI+Volume,2026-03-05 23:10:00+00:00,2026-03-05 23:45:00+00:00,short,71197.27,70896.94,TP,2.2278,113.6182,2026-03
v2 RSI+Volume,2026-03-06 13:55:00+00:00,2026-03-06 14:05:00+00:00,short,69358.98,68930.41,TP,2.2724,115.8906,2026-03
v2 RSI+Volume,2026-03-06 19:35:00+00:00,2026-03-06 20:25:00+00:00,short,68194.02,67815.21,TP,2.3178,118.2084,2026-03
v2 RSI+Volume,2026-03-07 03:35:00+00:00,2026-03-07 04:00:00+00:00,short,68244.89,67908.2,TP,2.3642,120.5726,2026-03
v2 RSI+Volume,2026-03-07 10:25:00+00:00,2026-03-07 11:15:00+00:00,short,67925.17,68142.19,SL,-1.2057,119.3669,2026-03
v2 RSI+Volume,2026-03-08 02:50:00+00:00,2026-03-08 04:55:00+00:00,short,66979.72,66647.52,TP,2.3873,121.7542,2026-03
v2 RSI+Volume,2026-03-08 08:45:00+00:00,2026-03-08 09:15:00+00:00,long,67478.58,67788.12,TP,2.4351,124.1893,2026-03
v2 RSI+Volume,2026-03-08 13:10:00+00:00,2026-03-08 13:50:00+00:00,short,67037.69,67178.28,SL,-1.2419,122.9474,2026-03
v2 RSI+Volume,2026-03-08 18:10:00+00:00,2026-03-08 19:15:00+00:00,short,66959.27,67166.68,SL,-1.2295,121.7179,2026-03
v2 RSI+Volume,2026-03-08 20:15:00+00:00,2026-03-08 20:35:00+00:00,short,67179.93,67480.87,SL,-1.2172,120.5007,2026-03
v2 RSI+Volume,2026-03-09 05:40:00+00:00,2026-03-09 06:05:00+00:00,long,67898.24,67644.23,SL,-1.205,119.2957,2026-03
v2 RSI+Volume,2026-03-09 07:40:00+00:00,2026-03-09 08:20:00+00:00,long,67433.43,67730.93,TP,2.3859,121.6816,2026-03
v2 RSI+Volume,2026-03-10 00:15:00+00:00,2026-03-10 00:25:00+00:00,long,68624.25,68926.22,TP,2.4336,124.1153,2026-03
v2 RSI+Volume,2026-03-10 04:50:00+00:00,2026-03-10 05:00:00+00:00,long,69916.36,70201.22,TP,2.4823,126.5976,2026-03
v2 RSI+Volume,2026-03-10 07:05:00+00:00,2026-03-10 08:05:00+00:00,long,70203.55,70914.66,TP,2.532,129.1295,2026-03
v2 RSI+Volume,2026-03-10 09:25:00+00:00,2026-03-10 09:45:00+00:00,long,71225.74,71015.66,SL,-1.2913,127.8382,2026-03
v2 RSI+Volume,2026-03-11 01:30:00+00:00,2026-03-11 02:35:00+00:00,short,70057.9,69691.4,TP,2.5568,130.395,2026-03
v2 RSI+Volume,2026-03-12 14:25:00+00:00,2026-03-12 14:35:00+00:00,short,70036.86,69601.05,TP,2.6079,133.0029,2026-03
v2 RSI+Volume,2026-03-15 02:00:00+00:00,2026-03-15 04:05:00+00:00,long,71263.25,71577.24,TP,2.6601,135.663,2026-03
v2 RSI+Volume,2026-03-15 04:10:00+00:00,2026-03-15 06:30:00+00:00,long,71618.88,71442.46,SL,-1.3566,134.3063,2026-03
v2 RSI+Volume,2026-03-15 13:55:00+00:00,2026-03-15 14:35:00+00:00,long,71545.34,71397.16,SL,-1.3431,132.9633,2026-03
v2 RSI+Volume,2026-03-15 18:45:00+00:00,2026-03-15 20:30:00+00:00,short,71450.32,71646.09,SL,-1.3296,131.6336,2026-03
v2 RSI+Volume,2026-03-15 22:35:00+00:00,2026-03-15 22:45:00+00:00,long,72190.77,72516.96,TP,2.6327,134.2663,2026-03
v2 RSI+Volume,2026-03-16 12:25:00+00:00,2026-03-16 13:30:00+00:00,long,73783.45,74139.65,TP,2.6853,136.9516,2026-03
v2 RSI+Volume,2026-03-16 15:20:00+00:00,2026-03-16 15:35:00+00:00,long,73891.31,73665.37,SL,-1.3695,135.5821,2026-03
v2 RSI+Volume,2026-03-19 02:55:00+00:00,2026-03-19 03:10:00+00:00,short,71050.74,71206.27,SL,-1.3558,134.2263,2026-03
v2 RSI+Volume,2026-03-19 06:35:00+00:00,2026-03-19 07:05:00+00:00,short,70630.13,70337.53,TP,2.6845,136.9108,2026-03
v2 RSI+Volume,2026-03-19 10:35:00+00:00,2026-03-19 11:50:00+00:00,short,70259.09,69975.83,TP,2.7382,139.649,2026-03
v2 RSI+Volume,2026-03-20 03:00:00+00:00,2026-03-20 04:00:00+00:00,long,70469.5,70775.02,TP,2.793,142.442,2026-03
v2 RSI+Volume,2026-03-20 10:40:00+00:00,2026-03-20 11:45:00+00:00,long,70536.02,70362.9,SL,-1.4244,141.0176,2026-03
v2 RSI+Volume,2026-03-20 16:40:00+00:00,2026-03-20 17:55:00+00:00,short,69778.95,69953.97,SL,-1.4102,139.6074,2026-03
v2 RSI+Volume,2026-03-20 21:15:00+00:00,2026-03-20 22:00:00+00:00,long,70492.48,70778.02,TP,2.7921,142.3996,2026-03
v2 RSI+Volume,2026-03-21 00:20:00+00:00,2026-03-21 01:30:00+00:00,long,70698.3,70550.93,SL,-1.424,140.9756,2026-03
v2 RSI+Volume,2026-03-21 05:20:00+00:00,2026-03-21 08:20:00+00:00,long,70750.7,70542.97,SL,-1.4098,139.5658,2026-03
v2 RSI+Volume,2026-03-21 21:10:00+00:00,2026-03-21 23:45:00+00:00,short,70364.41,69667.4,TP,2.7913,142.3571,2026-03
v2 RSI+Volume,2026-03-22 10:40:00+00:00,2026-03-22 11:45:00+00:00,short,68616.57,68285.59,TP,2.8471,145.2043,2026-03
v2 RSI+Volume,2026-03-22 13:40:00+00:00,2026-03-22 13:55:00+00:00,short,68583.57,68732.06,SL,-1.452,143.7522,2026-03
v2 RSI+Volume,2026-03-22 17:35:00+00:00,2026-03-22 19:10:00+00:00,short,68699.15,68407.58,TP,2.875,146.6273,2026-03
v2 RSI+Volume,2026-03-23 13:50:00+00:00,2026-03-23 14:05:00+00:00,long,71348.94,71696.08,TP,2.9325,149.5598,2026-03
v2 RSI+Volume,2026-03-23 16:45:00+00:00,2026-03-23 17:20:00+00:00,long,70680.66,70432.61,SL,-1.4956,148.0642,2026-03
v2 RSI+Volume,2026-03-23 23:35:00+00:00,2026-03-24 01:10:00+00:00,long,70684.2,70537.52,SL,-1.4806,146.5836,2026-03
v2 RSI+Volume,2026-03-24 01:25:00+00:00,2026-03-24 01:35:00+00:00,long,70832.52,70636.23,SL,-1.4658,145.1177,2026-03
v2 RSI+Volume,2026-03-24 23:20:00+00:00,2026-03-25 00:35:00+00:00,long,70536.24,70826.88,TP,2.9024,148.0201,2026-03
v2 RSI+Volume,2026-03-25 10:05:00+00:00,2026-03-25 11:20:00+00:00,long,71380.99,71684.23,TP,2.9604,150.9805,2026-03
v2 RSI+Volume,2026-03-25 13:00:00+00:00,2026-03-25 13:20:00+00:00,long,71759.34,71613.16,SL,-1.5098,149.4707,2026-03
