strategy,entry_time,exit_time,direction,entry,exit,result,risk_used,pnl,capital,streak
U2. Momentum Score,2026-04-05 17:30:00+00:00,2026-04-05 18:40:00+00:00,long,67304.24,67407.84,TP ✅,0.9441,2.3603,96.774,2
U2. Momentum Score,2026-04-05 20:20:00+00:00,2026-04-05 20:35:00+00:00,long,67409.08,67634.62,TP ✅,1.4516,3.629,100.403,3
U2. Momentum Score,2026-04-06 10:30:00+00:00,2026-04-06 10:55:00+00:00,long,69817.55,69730.77,SL ❌,2.0081,-2.0081,98.395,-1
U2. Momentum Score,2026-04-06 13:35:00+00:00,2026-04-06 13:40:00+00:00,short,69290.49,69367.76,SL ❌,0.9839,-0.9839,97.411,-2
U2. Momentum Score,2026-04-06 13:45:00+00:00,2026-04-06 13:50:00+00:00,short,69307.7,69410.34,SL ❌,0.4871,-0.4871,96.9239,-3
U2. Momentum Score,2026-04-06 14:00:00+00:00,2026-04-06 14:15:00+00:00,short,69284.92,69372.76,SL ❌,0.4846,-0.4846,96.4393,-4
U2. Momentum Score,2026-04-06 14:20:00+00:00,2026-04-06 14:35:00+00:00,long,69509.78,69406.07,SL ❌,0.4822,-0.4822,95.9571,-5
U2. Momentum Score,2026-04-06 14:50:00+00:00,2026-04-06 15:50:00+00:00,long,69580.62,69903.57,TP ✅,0.4798,1.1995,97.1566,1
U2. Momentum Score,2026-04-06 17:10:00+00:00,2026-04-06 17:25:00+00:00,short,69344.39,69523.33,SL ❌,0.9716,-0.9716,96.185,-1
U2. Momentum Score,2026-04-06 18:15:00+00:00,2026-04-06 19:05:00+00:00,long,69766.74,69617.28,SL ❌,0.9618,-0.9618,95.2232,-2
U2. Momentum Score,2026-04-06 19:20:00+00:00,2026-04-06 19:35:00+00:00,long,69837.34,69770.32,SL ❌,0.4761,-0.4761,94.7471,-3
U2. Momentum Score,2026-04-06 20:15:00+00:00,2026-04-06 21:00:00+00:00,long,69822.1,69753.15,BE 〰,0.4737,0.0,94.7471,0
U2. Momentum Score,2026-04-07 12:30:00+00:00,2026-04-07 12:55:00+00:00,short,68337.18,68412.97,SL ❌,0.9475,-0.9475,93.7996,-1
U2. Momentum Score,2026-04-07 13:05:00+00:00,2026-04-07 13:20:00+00:00,long,68607.77,68484.32,SL ❌,0.938,-0.938,92.8616,-2
U2. Momentum Score,2026-04-07 13:45:00+00:00,2026-04-07 13:50:00+00:00,short,68205.89,68354.49,SL ❌,0.4643,-0.4643,92.3973,-3
U2. Momentum Score,2026-04-07 17:25:00+00:00,2026-04-07 17:35:00+00:00,long,68363.87,68781.11,TP ✅,0.462,1.155,93.5523,1
U2. Momentum Score,2026-04-07 18:50:00+00:00,2026-04-07 19:15:00+00:00,short,68372.33,68541.71,SL ❌,0.9355,-0.9355,92.6167,-1
U2. Momentum Score,2026-04-07 19:25:00+00:00,2026-04-07 19:30:00+00:00,long,68601.55,68490.41,SL ❌,0.9262,-0.9262,91.6906,-2
U2. Momentum Score,2026-04-07 19:45:00+00:00,2026-04-07 20:00:00+00:00,long,68885.13,69341.69,TP ✅,0.4585,1.1461,92.8367,1
U2. Momentum Score,2026-04-08 08:15:00+00:00,2026-04-08 08:35:00+00:00,long,71762.02,71702.87,SL ❌,0.9284,-0.9284,91.9083,-1
U2. Momentum Score,2026-04-08 08:45:00+00:00,2026-04-08 09:00:00+00:00,long,71712.68,71854.09,TP ✅,0.9191,2.2977,94.206,1
U2. Momentum Score,2026-04-08 09:45:00+00:00,2026-04-08 09:50:00+00:00,short,71615.01,71676.28,SL ❌,0.9421,-0.9421,93.264,-1
U2. Momentum Score,2026-04-08 11:20:00+00:00,2026-04-08 11:25:00+00:00,short,71530.53,71642.0,SL ❌,0.9326,-0.9326,92.3313,-2
U2. Momentum Score,2026-04-08 11:35:00+00:00,2026-04-08 11:40:00+00:00,short,71417.46,71523.95,SL ❌,0.4617,-0.4617,91.8697,-3
U2. Momentum Score,2026-04-08 11:50:00+00:00,2026-04-08 12:35:00+00:00,long,71702.69,71937.93,TP ✅,0.4593,1.1484,93.018,1
U2. Momentum Score,2026-04-08 13:50:00+00:00,2026-04-08 14:30:00+00:00,short,71612.2,71103.41,TP ✅,0.9302,2.3255,95.3435,2
U2. Momentum Score,2026-04-08 18:15:00+00:00,2026-04-08 18:20:00+00:00,long,71674.07,71432.85,SL ❌,1.4302,-1.4302,93.9133,-1
U2. Momentum Score,2026-04-08 18:25:00+00:00,2026-04-08 18:30:00+00:00,short,71366.11,71497.31,SL ❌,0.9391,-0.9391,92.9742,-2
U2. Momentum Score,2026-04-08 20:45:00+00:00,2026-04-08 20:55:00+00:00,short,71309.05,71367.48,SL ❌,0.4649,-0.4649,92.5093,-3
U2. Momentum Score,2026-04-09 08:30:00+00:00,2026-04-09 08:40:00+00:00,long,71108.8,71234.46,TP ✅,0.4625,1.1564,93.6657,1
U2. Momentum Score,2026-04-09 12:20:00+00:00,2026-04-09 12:25:00+00:00,short,71059.3,71265.88,SL ❌,0.9367,-0.9367,92.7291,-1
U2. Momentum Score,2026-04-09 12:40:00+00:00,2026-04-09 13:05:00+00:00,long,71209.68,71125.06,SL ❌,0.9273,-0.9273,91.8018,-2
U2. Momentum Score,2026-04-09 14:55:00+00:00,2026-04-09 15:05:00+00:00,long,71116.17,70975.6,SL ❌,0.459,-0.459,91.3428,-3
U2. Momentum Score,2026-04-09 15:10:00+00:00,2026-04-09 15:20:00+00:00,long,71205.52,71476.11,TP ✅,0.4567,1.1418,92.4845,1
