entry_time,exit_time,direction,entry,exit,result,pnl,capital,spread_on
2026-04-02 01:10:00+00:00,2026-04-02 01:15:00+00:00,short,68117.42,67509.84,TP,0.8273,48.1001,True
2026-04-02 04:40:00+00:00,2026-04-02 04:45:00+00:00,short,66236.67,66340.18,SL,-0.6013,47.4989,True
2026-04-02 08:10:00+00:00,2026-04-02 09:00:00+00:00,short,66709.18,66353.02,TP,0.8312,48.3301,True
2026-04-02 10:10:00+00:00,2026-04-02 10:30:00+00:00,short,66268.34,66426.73,SL,-0.6041,47.726,True
2026-04-02 11:40:00+00:00,2026-04-02 13:00:00+00:00,short,66321.46,65989.63,TP,0.8352,48.5612,True
2026-04-02 13:30:00+00:00,2026-04-02 13:50:00+00:00,short,65883.95,66105.94,SL,-0.607,47.9541,True
2026-04-02 15:30:00+00:00,2026-04-02 15:35:00+00:00,short,66704.17,66943.2,SL,-0.5994,47.3547,True
2026-04-02 16:40:00+00:00,2026-04-02 17:00:00+00:00,long,67148.41,66879.77,SL,-0.5919,46.7628,True
2026-04-02 17:15:00+00:00,2026-04-02 17:30:00+00:00,long,67384.45,67066.07,SL,-0.5845,46.1783,True
2026-04-02 18:50:00+00:00,2026-04-02 20:00:00+00:00,long,66982.16,66822.55,SL,-0.5772,45.601,True
2026-04-02 20:35:00+00:00,2026-04-02 20:45:00+00:00,long,67084.67,66977.45,SL,-0.57,45.031,True
2026-04-02 22:00:00+00:00,2026-04-03 00:05:00+00:00,long,66962.07,66854.95,SL,-0.5629,44.4681,True
2026-04-03 01:35:00+00:00,2026-04-03 05:35:00+00:00,short,66623.02,66739.7,SL,-0.5559,43.9123,True
2026-04-03 06:05:00+00:00,2026-04-03 06:35:00+00:00,short,66602.62,66714.87,SL,-0.5489,43.3634,True
2026-04-03 10:45:00+00:00,2026-04-03 13:00:00+00:00,long,66844.45,66682.44,SL,-0.542,42.8213,True
2026-04-03 16:25:00+00:00,2026-04-03 17:15:00+00:00,long,66961.98,66771.22,SL,-0.5353,42.2861,True
2026-04-03 18:30:00+00:00,2026-04-03 19:05:00+00:00,long,66876.35,66766.13,SL,-0.5286,41.7575,True
2026-04-03 21:00:00+00:00,2026-04-03 23:55:00+00:00,short,66834.38,66938.65,SL,-0.522,41.2355,True
2026-04-04 02:45:00+00:00,2026-04-04 05:30:00+00:00,short,66803.23,66916.35,SL,-0.5154,40.7201,True
2026-04-04 07:55:00+00:00,2026-04-04 08:50:00+00:00,long,67022.45,66913.46,SL,-0.509,40.2111,True
2026-04-04 09:55:00+00:00,2026-04-04 15:10:00+00:00,long,66961.21,67379.13,TP,0.7037,40.9148,True
2026-04-04 16:25:00+00:00,2026-04-04 17:00:00+00:00,long,67437.99,67301.95,SL,-0.5114,40.4033,True
2026-04-04 19:05:00+00:00,2026-04-04 19:40:00+00:00,long,67409.79,67289.74,SL,-0.505,39.8983,True
2026-04-04 20:45:00+00:00,2026-04-05 01:05:00+00:00,long,67269.39,67132.41,SL,-0.4987,39.3996,True
2026-04-05 04:05:00+00:00,2026-04-05 06:05:00+00:00,short,67098.86,66791.02,TP,0.6895,40.0891,True
2026-04-05 10:15:00+00:00,2026-04-05 10:35:00+00:00,short,66957.54,67095.8,SL,-0.5011,39.5879,True
2026-04-05 10:50:00+00:00,2026-04-05 12:45:00+00:00,short,66996.12,66693.38,TP,0.6928,40.2807,True
2026-04-05 18:35:00+00:00,2026-04-05 19:40:00+00:00,long,67394.6,67271.38,SL,-0.5035,39.7772,True
2026-04-05 20:25:00+00:00,2026-04-05 22:45:00+00:00,long,67456.49,68008.4,TP,0.6961,40.4733,True
2026-04-06 02:20:00+00:00,2026-04-06 03:50:00+00:00,long,69164.72,69059.61,SL,-0.5059,39.9674,True
2026-04-06 04:45:00+00:00,2026-04-06 06:20:00+00:00,long,69150.73,69002.53,SL,-0.4996,39.4678,True
2026-04-06 07:20:00+00:00,2026-04-06 07:45:00+00:00,long,69051.08,68939.44,SL,-0.4933,38.9745,True
2026-04-06 13:25:00+00:00,2026-04-06 13:35:00+00:00,long,69452.12,69290.49,SL,-0.4872,38.4873,True
2026-04-06 13:40:00+00:00,2026-04-06 14:05:00+00:00,long,69367.76,69211.2,SL,-0.4811,38.0062,True
2026-04-06 14:15:00+00:00,2026-04-06 15:10:00+00:00,long,69372.76,69725.68,TP,0.6651,38.6713,True
2026-04-06 18:10:00+00:00,2026-04-06 19:10:00+00:00,long,69719.95,69606.39,SL,-0.4834,38.1879,True
2026-04-06 19:20:00+00:00,2026-04-06 19:45:00+00:00,long,69837.34,69721.71,SL,-0.4773,37.7106,True
2026-04-06 20:20:00+00:00,2026-04-06 21:00:00+00:00,long,69859.38,69753.15,SL,-0.4714,37.2392,True
2026-04-07 01:10:00+00:00,2026-04-07 01:15:00+00:00,short,68602.71,68715.62,SL,-0.4655,36.7737,True
2026-04-07 01:45:00+00:00,2026-04-07 03:00:00+00:00,short,68584.95,68693.8,SL,-0.4597,36.314,True
2026-04-07 04:10:00+00:00,2026-04-07 04:35:00+00:00,short,68639.09,68844.76,SL,-0.4539,35.8601,True
2026-04-07 05:25:00+00:00,2026-04-07 08:30:00+00:00,short,68700.39,68823.55,SL,-0.4483,35.4118,True
2026-04-07 13:45:00+00:00,2026-04-07 13:50:00+00:00,short,68205.89,68354.49,SL,-0.4426,34.9692,True
2026-04-07 19:45:00+00:00,2026-04-07 20:00:00+00:00,long,68885.13,69341.69,TP,0.612,35.5812,True
2026-04-07 21:05:00+00:00,2026-04-07 21:25:00+00:00,long,69882.98,69519.42,SL,-0.4448,35.1364,True
2026-04-07 21:40:00+00:00,2026-04-07 22:05:00+00:00,long,69845.81,70346.92,TP,0.6149,35.7513,True
2026-04-08 03:30:00+00:00,2026-04-08 03:50:00+00:00,long,71409.03,71291.33,SL,-0.4469,35.3044,True
2026-04-08 04:00:00+00:00,2026-04-08 05:10:00+00:00,long,71321.35,71643.49,TP,0.6178,35.9222,True
2026-04-08 06:20:00+00:00,2026-04-08 06:30:00+00:00,long,71897.41,71778.31,SL,-0.449,35.4732,True
2026-04-08 08:15:00+00:00,2026-04-08 09:40:00+00:00,long,71762.02,71636.37,SL,-0.4434,35.0298,True
2026-04-08 11:15:00+00:00,2026-04-08 11:35:00+00:00,long,71620.47,71417.46,SL,-0.4379,34.5919,True
2026-04-08 11:50:00+00:00,2026-04-08 12:55:00+00:00,long,71702.69,72078.86,TP,0.6054,35.1973,True
2026-04-08 19:45:00+00:00,2026-04-08 21:25:00+00:00,long,71347.23,71715.54,TP,0.616,35.8132,True
2026-04-09 00:30:00+00:00,2026-04-09 02:00:00+00:00,short,70844.62,70962.88,SL,-0.4477,35.3655,True
2026-04-09 03:20:00+00:00,2026-04-09 05:40:00+00:00,short,70960.26,71068.27,SL,-0.4421,34.9235,True
2026-04-09 06:25:00+00:00,2026-04-09 06:55:00+00:00,short,70866.46,71009.36,SL,-0.4365,34.4869,True
2026-04-09 07:30:00+00:00,2026-04-09 08:30:00+00:00,short,70968.55,71108.8,SL,-0.4311,34.0558,True
2026-04-09 09:45:00+00:00,2026-04-09 11:10:00+00:00,long,71333.18,71197.15,SL,-0.4257,33.6301,True
2026-04-09 12:25:00+00:00,2026-04-09 12:35:00+00:00,long,71265.88,71157.52,SL,-0.4204,33.2098,True
2026-04-09 13:10:00+00:00,2026-04-09 13:50:00+00:00,short,71101.92,70754.03,TP,0.5812,33.7909,True
2026-04-09 17:10:00+00:00,2026-04-09 17:25:00+00:00,long,72428.06,72272.56,SL,-0.4224,33.3686,True
2026-04-09 19:40:00+00:00,2026-04-09 20:40:00+00:00,long,72086.08,72436.13,TP,0.584,33.9525,True
2026-04-09 22:15:00+00:00,2026-04-09 22:20:00+00:00,long,73004.66,72788.64,SL,-0.4244,33.5281,True
