strategy,entry_time,exit_time,direction,entry,exit,result,pnl,capital
S3. Breakout + Momentum,2024-01-12 16:15:00+00:00,2024-01-12 16:20:00+00:00,short,44008.0,44155.75,SL ❌,-0.6974,69.0415
S3. Breakout + Momentum,2024-01-12 16:35:00+00:00,2024-01-12 16:45:00+00:00,short,43550.96,43924.01,SL ❌,-0.6904,68.3511
S3. Breakout + Momentum,2024-01-12 21:40:00+00:00,2024-01-12 21:50:00+00:00,short,43271.0,43464.15,SL ❌,-0.6835,67.6676
S3. Breakout + Momentum,2024-01-12 22:00:00+00:00,2024-01-12 22:05:00+00:00,short,42536.94,42667.06,SL ❌,-0.6767,66.9909
S3. Breakout + Momentum,2024-01-12 22:20:00+00:00,2024-01-12 22:30:00+00:00,short,41982.99,42347.88,SL ❌,-0.6699,66.321
S3. Breakout + Momentum,2024-01-13 01:10:00+00:00,2024-01-13 01:40:00+00:00,short,42665.52,42823.35,SL ❌,-0.6632,65.6578
S3. Breakout + Momentum,2024-01-13 04:40:00+00:00,2024-01-13 05:40:00+00:00,long,42839.92,43063.88,TP ✅,1.3132,66.9709
S3. Breakout + Momentum,2024-01-13 05:45:00+00:00,2024-01-13 06:40:00+00:00,long,43114.01,42988.5,SL ❌,-0.6697,66.3012
S3. Breakout + Momentum,2024-01-13 09:15:00+00:00,2024-01-13 10:05:00+00:00,short,42965.8,42720.15,TP ✅,1.326,67.6272
S3. Breakout + Momentum,2024-01-13 11:00:00+00:00,2024-01-13 11:05:00+00:00,short,42625.74,42797.83,SL ❌,-0.6763,66.951
S3. Breakout + Momentum,2024-01-13 11:40:00+00:00,2024-01-13 12:00:00+00:00,short,42556.53,42680.57,SL ❌,-0.6695,66.2815
S3. Breakout + Momentum,2024-01-13 14:30:00+00:00,2024-01-13 15:05:00+00:00,long,42878.0,43052.99,TP ✅,1.3256,67.6071
S3. Breakout + Momentum,2024-01-13 15:30:00+00:00,2024-01-13 15:40:00+00:00,long,43245.99,43081.99,SL ❌,-0.6761,66.931
S3. Breakout + Momentum,2024-01-13 20:00:00+00:00,2024-01-13 20:10:00+00:00,short,42728.43,42824.0,SL ❌,-0.6693,66.2617
S3. Breakout + Momentum,2024-01-13 22:00:00+00:00,2024-01-13 22:25:00+00:00,long,43015.15,42907.99,SL ❌,-0.6626,65.5991
S3. Breakout + Momentum,2024-01-14 00:30:00+00:00,2024-01-14 01:20:00+00:00,short,42696.0,42796.21,SL ❌,-0.656,64.9431
S3. Breakout + Momentum,2024-01-14 04:15:00+00:00,2024-01-14 05:15:00+00:00,short,42590.14,42709.65,SL ❌,-0.6494,64.2937
S3. Breakout + Momentum,2024-01-14 06:10:00+00:00,2024-01-14 07:10:00+00:00,long,42871.78,43050.41,TP ✅,1.2859,65.5795
S3. Breakout + Momentum,2024-01-14 09:55:00+00:00,2024-01-14 10:15:00+00:00,long,43052.41,42965.54,SL ❌,-0.6558,64.9238
S3. Breakout + Momentum,2024-01-14 11:00:00+00:00,2024-01-14 11:25:00+00:00,short,42808.7,42930.12,SL ❌,-0.6492,64.2745
S3. Breakout + Momentum,2024-01-14 19:15:00+00:00,2024-01-14 20:00:00+00:00,short,42793.99,42470.02,TP ✅,1.2855,65.56
S3. Breakout + Momentum,2024-01-14 21:35:00+00:00,2024-01-14 21:40:00+00:00,short,42130.0,42306.5,SL ❌,-0.6556,64.9044
S3. Breakout + Momentum,2024-01-14 23:20:00+00:00,2024-01-14 23:25:00+00:00,short,41881.23,42031.99,SL ❌,-0.649,64.2554
S3. Breakout + Momentum,2024-01-14 23:35:00+00:00,2024-01-14 23:45:00+00:00,short,41840.01,41984.0,SL ❌,-0.6426,63.6128
S3. Breakout + Momentum,2024-01-15 03:20:00+00:00,2024-01-15 05:10:00+00:00,long,42606.01,42791.1,TP ✅,1.2723,64.8851
S3. Breakout + Momentum,2024-01-15 07:25:00+00:00,2024-01-15 07:50:00+00:00,short,42599.99,42749.57,SL ❌,-0.6489,64.2362
S3. Breakout + Momentum,2024-01-15 10:55:00+00:00,2024-01-15 11:45:00+00:00,short,42565.26,42662.93,SL ❌,-0.6424,63.5939
S3. Breakout + Momentum,2024-01-15 13:45:00+00:00,2024-01-15 14:00:00+00:00,long,42876.98,42772.0,SL ❌,-0.6359,62.9579
S3. Breakout + Momentum,2024-01-15 14:25:00+00:00,2024-01-15 14:45:00+00:00,short,42440.67,42269.91,TP ✅,1.2592,64.2171
S3. Breakout + Momentum,2024-01-15 14:50:00+00:00,2024-01-15 15:05:00+00:00,short,42206.7,42318.0,SL ❌,-0.6422,63.5749
S3. Breakout + Momentum,2024-01-15 17:10:00+00:00,2024-01-15 18:20:00+00:00,long,42687.2,42919.94,TP ✅,1.2715,64.8464
S3. Breakout + Momentum,2024-01-15 18:25:00+00:00,2024-01-15 18:40:00+00:00,long,43156.0,43352.0,TP ✅,1.2969,66.1433
S3. Breakout + Momentum,2024-01-15 22:05:00+00:00,2024-01-15 22:15:00+00:00,short,42642.17,42466.37,TP ✅,1.3229,67.4662
S3. Breakout + Momentum,2024-01-16 03:20:00+00:00,2024-01-16 04:45:00+00:00,long,42880.0,42786.57,SL ❌,-0.6747,66.7915
S3. Breakout + Momentum,2024-01-16 06:00:00+00:00,2024-01-16 08:20:00+00:00,short,42736.35,42823.7,SL ❌,-0.6679,66.1236
S3. Breakout + Momentum,2024-01-16 08:45:00+00:00,2024-01-16 09:10:00+00:00,long,43007.97,42901.44,SL ❌,-0.6612,65.4624
S3. Breakout + Momentum,2024-01-16 09:20:00+00:00,2024-01-16 09:35:00+00:00,long,43145.99,43025.98,SL ❌,-0.6546,64.8078
